question,answer,question_arm,answer_arm
where is the university of oregon state?,"The University of Oregon State is located in Corvallis, Oregon.",որտեղ է գտնվում Օրեգոն նահանգի համալսարանը:,Օրեգոն նահանգի համալսարանը գտնվում է Օրեգոն նահանգի Կորվալիս քաղաքում:
where put thermometer in turkey?,"You can put the thermometer in the thickest part of the turkey, such as the thigh or breast.",որտեղ դնել ջերմաչափը Թուրքիայում:,"Ջերմաչափը կարող եք դնել հնդկահավի ամենահաստ հատվածում, օրինակ՝ ազդրի կամ կրծքի մեջ։"
who did george wendt play on cheers?,George Wendt played the character Norm Peterson on Cheers.,Ո՞վ է Ջորջ Վենդտը խաղացել ուրախության վրա:,Ջորջ Վենդտը խաղում էր Նորմ Պետերսոնի կերպարը Cheers-ում։
who played cruella deville in 102 dalmatians?,Glenn Close.,ով խաղացել է cruella deville 102 դալմատացիների մեջ:,Գլեն Քլոուզ.
what division did the baltimore colts play in?,The Baltimore Colts played in the National Football League's Western Conference.,ո՞ր դիվիզիոնում էին խաղում բալթիմորի քուռակները:,Baltimore Colts-ը խաղացել է Ֆուտբոլի ազգային լիգայի Արևմտյան կոնֆերենցիայում:
what year did us invaded iraq?,The US invaded Iraq in 2003.,ո՞ր տարում մենք ներխուժեցինք Իրաք.,ԱՄՆ-ը ներխուժել է Իրաք 2003թ.
what is the local currency in the dominican republic?,The local currency in the Dominican Republic is the Dominican peso (DOP).,ո՞րն է տեղական արժույթը Դոմինիկյան հանրապետությունում:,Դոմինիկյան Հանրապետությունում տեղական արժույթը Դոմինիկյան պեսոն է (DOP):
what is the capital city of canada on a map?,The capital city of Canada is Ottawa.,Ո՞րն է Կանադայի մայրաքաղաքը քարտեզի վրա:,Կանադայի մայրաքաղաքը Օտտավան է։
what is the name of currency used in spain?,The currency used in Spain is the Euro.,ինչ է կոչվում Իսպանիայում օգտագործվող արժույթը:,Իսպանիայում օգտագործվող արժույթը եվրոն է։
what ethnicity are people from iran?,People from Iran generally belong to the Iranian ethnicity.,ինչ ազգության են Իրանից.,Իրանից եկած մարդիկ հիմնականում պատկանում են իրանական էթնիկական պատկանելությանը։
where did the germans come from wiki?,The Germans originated from various Germanic tribes in Central Europe. They have a rich history dating back to ancient times.,որտեղի՞ց են առաջացել գերմանացիները վիքիից։,"Գերմանացիները ծագել են Կենտրոնական Եվրոպայի տարբեր գերմանական ցեղերից։ Նրանք ունեն հարուստ պատմություն, որը սկսվում է հին ժամանակներից:"
what movie did tom hanks won his first oscar?,"Tom Hanks won his first Oscar for the movie ""Philadelphia"" in 1994.",Ո՞ր ֆիլմն է Թոմ Հենքսը ստացել իր առաջին «Օսկարը»:,Թոմ Հենքսն իր առաջին «Օսկար»-ը ստացել է «Ֆիլադելֆիա» ֆիլմի համար 1994 թվականին։
when was ancient egypt created?,Ancient Egypt was created around 3100 BCE.,Ե՞րբ է ստեղծվել Հին Եգիպտոսը:,Հին Եգիպտոսը ստեղծվել է շուրջ 3100 մ.թ.ա.
who played bilbo baggins?,Martin Freeman,ով խաղաց բիլբո բեգինս,Մարտին Ֆրիման
what famous people are from kansas city?,"Some famous people from Kansas City include Walt Disney, Ernest Hemingway, and Tech N9ne.",Ո՞ր հայտնի մարդիկ են Կանզաս Սիթիից:,"Կանզաս Սիթիից որոշ հայտնի մարդկանց թվում են Ուոլթ Դիսնեյը, Էռնեստ Հեմինգուեյը և Tech N9ne-ը:"
what country did francis drake represent?,England.,ո՞ր երկիրն էր ներկայացնում Ֆրենսիս Դրեյքը:,Անգլիա.
what timezone is indianapolis indiana in?,"Indianapolis, Indiana is in the Eastern Standard Time Zone.",Ո՞ր ժամային գոտում է Ինդիանապոլիս Ինդիանան:,"Ինդիանապոլիս, Ինդիանա գտնվում է Արևելյան ստանդարտ ժամային գոտում:"
what did darwin propose as the mechanism of evolution?,Darwin proposed natural selection as the mechanism of evolution.,ի՞նչ է առաջարկել Դարվինը որպես էվոլյուցիայի մեխանիզմ:,Դարվինը որպես էվոլյուցիայի մեխանիզմ առաջարկեց բնական ընտրությունը։
who ran against bill clinton for president?,Bob Dole ran against Bill Clinton for president.,ովքե՞ր են առաջադրվել Բիլ Քլինթոնի դեմ նախագահական ընտրություններում.,Բոբ Դոլը նախագահական ընտրություններում առաջադրվել է Բիլ Քլինթոնի դեմ:
what books did lincoln write?,Abraham Lincoln did not write any books.,ինչ գրքեր է գրել Լինքոլնը,Աբրահամ Լինքոլնը ոչ մի գիրք չի գրել։
what are popular sports in spain?,"Popular sports in Spain include soccer, basketball, tennis, and cycling.",որո՞նք են հայտնի սպորտաձևերը Իսպանիայում:,"Իսպանիայում հայտնի սպորտաձևերը ներառում են ֆուտբոլ, բասկետբոլ, թենիս և հեծանվավազք։"
what did corey haim act in?,"Corey Haim acted in movies such as ""The Lost Boys,"" ""License to Drive,"" and ""Lucas.""",ինչով է գործել Քորի Հայմը:,"Քորի Հեյմը նկարահանվել է այնպիսի ֆիլմերում, ինչպիսիք են «Կորած տղաները», «Քշելու թույլտվություն» և «Լուկասը»:"
who is the publisher of the wall street journal?,"The publisher of The Wall Street Journal is Dow Jones & Company, a subsidiary of News Corp.",ով է Wall Street ամսագրի հրատարակիչը:,The Wall Street Journal-ի հրատարակիչը Dow Jones & Company-ն է՝ News Corp-ի դուստր ձեռնարկությունը:
what products are made in the usa?,"There are a wide range of products made in the USA including automobiles, electronics, clothing, food products, furniture, and many more.",ինչ ապրանքներ են արտադրվում ԱՄՆ-ում:,"ԱՄՆ-ում արտադրված ապրանքների լայն տեսականի կա՝ ներառյալ ավտոմեքենաներ, էլեկտրոնիկա, հագուստ, սննդամթերք, կահույք և շատ ավելին:"
what do tibetan people speak?,Tibetan people speak Tibetan.,ինչ են խոսում տիբեթցիները,Տիբեթցիները խոսում են տիբեթերեն:
what form of government does afghanistan have?,Afghanistan has a presidential republic form of government.,ինչպիսի՞ կառավարման ձև ունի Աֆղանստանը,Աֆղանստանն ունի նախագահական հանրապետության կառավարման ձև:
who was the wife of king edward vii?,Queen Alexandra,ո՞վ էր Էդվարդ VIII թագավորի կինը։,Ալեքսանդրա թագուհի
what position did john stockton play?,Point guard.,ինչ դիրք է խաղացել Ջոն Սթոքթոնը,Պիենտ պահակ.
what happened at the virginia tech massacre?,"On April 16, 2007, a shooting occurred at Virginia Tech in Blacksburg, Virginia. A gunman killed 32 people and injured many others before taking his own life.",ի՞նչ է տեղի ունեցել Վիրջինիայի տեխնոլոգիական կոտորածի ժամանակ։,2007 թվականի ապրիլի 16-ին հրաձգություն տեղի ունեցավ Վիրջինիա նահանգի Բլեքսբուրգ քաղաքում գտնվող Վիրջինիա տեխնիկայում: Զինված տղամարդը սպանել է 32 մարդու և վիրավորել շատերին՝ նախքան կյանքին վերջ տալը։
when did freddy krueger die?,"Freddy Krueger is a fictional character, so he does not have a specific date of death.",Ե՞րբ է մահացել Ֆրեդի Կրյուգերը,"Ֆրեդի Կրյուգերը հորինված կերպար է, ուստի նա չունի մահվան կոնկրետ ամսաթիվ:"
what is there to do in niagara falls new york?,"There are several activities to do in Niagara Falls, New York such as visiting Niagara Falls State Park, taking a Maid of the Mist boat tour, exploring Cave of the Winds, and visiting the Niagara Gorge Discovery Center.",ինչ կարելի է անել Նիագարա Ֆոլսում Նյու Յորքում:,"Նյու Յորքի Նիագարայի ջրվեժում կան մի քանի գործողություններ, ինչպիսիք են Նիագարայի ջրվեժի պետական ​​զբոսայգին այցելելը, Մառախուղի սպասուհուն նավով շրջագայություն կատարելը, Քամիների քարանձավը ուսումնասիրելը և Նիագարայի կիրճի հայտնաբերման կենտրոն այցելելը:"
